Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.34      0.01     0.01  1572864     0.00     0.00  unsigned int&& std::forward<unsigned int>(std::remove_reference<unsigned int>::type&)
 33.34      0.02     0.01   786433     0.00     0.00  bool __gnu_cxx::operator==<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > const&)
 33.34      0.03     0.01   786432     0.00     0.00  void std::allocator_traits<std::pmr::polymorphic_allocator<unsigned int> >::construct<unsigned int, unsigned int const&>(std::pmr::polymorphic_allocator<unsigned int>&, unsigned int*, unsigned int const&)
  0.00      0.03     0.00  3145728     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  0.00      0.03     0.00  1572869     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >::base() const
  0.00      0.03     0.00  1572868     0.00     0.00  std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >::base() const
  0.00      0.03     0.00  1572866     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.03     0.00  1572864     0.00     0.00  void std::allocator_traits<std::pmr::polymorphic_allocator<unsigned int> >::destroy<unsigned int>(std::pmr::polymorphic_allocator<unsigned int>&, unsigned int*)
  0.00      0.03     0.00  1572864     0.00     0.00  unsigned int const& std::forward<unsigned int const&>(std::remove_reference<unsigned int const&>::type&)
  0.00      0.03     0.00   786433     0.00     0.00  bool std::operator==<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >(std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > const&, std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > const&)
  0.00      0.03     0.00   786433     0.00     0.00  bool std::operator!=<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >(std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > const&, std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > > const&)
  0.00      0.03     0.00   786432     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >::operator++()
  0.00      0.03     0.00   786432     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >::operator*() const
  0.00      0.03     0.00   786432     0.00     0.00  std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >::operator*() const
  0.00      0.03     0.00   786432     0.00     0.00  std::move_iterator<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > > >::operator++()
  0.00      0.03     0.00   786432     0.00     0.00  void std::allocator_traits<std::pmr::polymorphic_allocator<unsigned int> >::construct<unsigned int, unsigned int>(std::pmr::polymorphic_allocator<unsigned int>&, unsigned int*, unsigned int&&)
  0.00      0.03     0.00   786432     0.00     0.00  std::pmr::polymorphic_allocator<unsigned int>::__not_pair<unsigned int>::type std::pmr::polymorphic_allocator<unsigned int>::construct<unsigned int, unsigned int const&>(unsigned int*, unsigned int const&)
  0.00      0.03     0.00   786432     0.00     0.00  std::pmr::polymorphic_allocator<unsigned int>::__not_pair<unsigned int>::type std::pmr::polymorphic_allocator<unsigned int>::construct<unsigned int, unsigned int>(unsigned int*, unsigned int&&)
  0.00      0.03     0.00     4096     0.00     0.00  std::uniform_real_distribution<float>::param_type::a() const
  0.00      0.03     0.00     4096     0.00     0.00  std::log(long double)
  0.00      0.03     0.00     3279     0.00     0.00  std::pmr::monotonic_buffer_resource::_S_next_bufsize(unsigned long)
  0.00      0.03     0.00     3277     0.00     0.00  hyper::stack_arena_release(hyper::Stack_arena*)
  0.00      0.03     0.00     3277     0.00     0.00  stellar::hot_reload_library_was_updated()
  0.00      0.03     0.00     3277     0.00     0.00  unsigned int* std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_data_ptr<unsigned int>(unsigned int*) const
  0.00      0.03     0.00     3277     0.00     0.00  std::pmr::monotonic_buffer_resource::release()
  0.00      0.03     0.00     3277     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::data()
  0.00      0.03     0.00     2049     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.03     0.00     2048     0.00     0.00  std::uniform_real_distribution<float>::param_type::b() const
  0.00      0.03     0.00     2048     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      0.03     0.00     2048     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.03     0.00     2048     0.00     0.00  float std::uniform_real_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.03     0.00     2048     0.00     0.00  float std::uniform_real_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<float>::param_type const&)
  0.00      0.03     0.00     2048     0.00     0.00  std::array<hyper::Vec2<float>, 1024ul>::operator[](unsigned long)
  0.00      0.03     0.00     2048     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.03     0.00     2048     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::operator()()
  0.00      0.03     0.00     2048     0.00     0.00  float std::generate_canonical<float, 24ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
